date,visitor,visitor_pts,home,home_pts,link,ot,attendance,notes,start_time
2013-11-05,Houston Rockets,116,Portland Trail Blazers,101,Box Score,,17491,,10:00 pm
2013-11-05,Atlanta Hawks,105,Sacramento Kings,100,Box Score,,13506,,10:00 pm
2013-11-05,Miami Heat,104,Toronto Raptors,95,Box Score,,18470,,7:00 pm
2013-11-06,Utah Jazz,87,Boston Celtics,97,Box Score,,17130,,7:30 pm
2013-11-06,Toronto Raptors,90,Charlotte Bobcats,92,Box Score,,11118,,7:00 pm
2013-11-06,Chicago Bulls,80,Indiana Pacers,97,Box Score,,18165,,7:00 pm
2013-11-06,New Orleans Pelicans,99,Memphis Grizzlies,84,Box Score,,15209,,8:00 pm
2013-11-06,Cleveland Cavaliers,104,Milwaukee Bucks,109,Box Score,,14340,,8:00 pm
2013-11-06,Golden State Warriors,106,Minnesota Timberwolves,93,Box Score,,15559,,8:00 pm
2013-11-06,Dallas Mavericks,93,Oklahoma City Thunder,107,Box Score,,18203,,9:30 pm
2013-11-06,Los Angeles Clippers,90,Orlando Magic,98,Box Score,,15807,,7:00 pm
2013-11-06,Washington Wizards,116,Philadelphia 76ers,102,Box Score,,10117,,7:00 pm
2013-11-06,Phoenix Suns,96,San Antonio Spurs,99,Box Score,,17870,,8:30 pm
2013-11-07,Atlanta Hawks,107,Denver Nuggets,109,Box Score,,15404,,9:00 pm
2013-11-07,Los Angeles Lakers,99,Houston Rockets,98,Box Score,,18133,,9:30 pm
2013-11-07,Los Angeles Clippers,97,Miami Heat,102,Box Score,,19600,,7:00 pm
2013-11-08,New York Knicks,101,Charlotte Bobcats,91,Box Score,,16465,,7:00 pm
2013-11-08,Utah Jazz,73,Chicago Bulls,97,Box Score,,21946,,8:00 pm
2013-11-08,Oklahoma City Thunder,119,Detroit Pistons,110,Box Score,,15624,,7:30 pm
2013-11-08,Toronto Raptors,84,Indiana Pacers,91,Box Score,,13316,,7:00 pm
2013-11-08,Dallas Mavericks,108,Minnesota Timberwolves,116,Box Score,,13677,,8:00 pm
2013-11-08,Los Angeles Lakers,85,New Orleans Pelicans,96,Box Score,,18209,,8:00 pm
2013-11-08,Boston Celtics,91,Orlando Magic,89,Box Score,,17555,,7:00 pm
2013-11-08,Cleveland Cavaliers,79,Philadelphia 76ers,94,Box Score,,15219,,7:00 pm
2013-11-08,Denver Nuggets,103,Phoenix Suns,114,Box Score,,15145,,9:00 pm
2013-11-08,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,17627,,10:00 pm
2013-11-08,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,18581,,8:30 pm
2013-11-08,Brooklyn Nets,108,Washington Wizards,112,Box Score,OT,17215,,7:00 pm
2013-11-09,Orlando Magic,94,Atlanta Hawks,104,Box Score,,15189,,7:30 pm
2013-11-09,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,17732,,7:30 pm
2013-11-09,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,20562,,7:30 pm
2013-11-09,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,18108,,8:00 pm
2013-11-09,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,16989,,8:00 pm
2013-11-09,Boston Celtics,111,Miami Heat,110,Box Score,,19710,,7:30 pm
2013-11-09,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,16448,,8:30 pm
2013-11-09,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,15482,,10:00 pm
2013-11-09,Utah Jazz,91,Toronto Raptors,115,Box Score,,17211,,7:00 pm
2013-11-10,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,18997,,9:30 pm
2013-11-10,San Antonio Spurs,120,New York Knicks,89,Box Score,,19812,,12:00 am
2013-11-10,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,18203,,7:00 pm
2013-11-10,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,13154,,8:00 pm
2013-11-11,Orlando Magic,105,Boston Celtics,120,Box Score,,18624,,7:30 pm
2013-11-11,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,13996,,7:00 pm
2013-11-11,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,21778,,8:00 pm
2013-11-11,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,18134,,8:00 pm
2013-11-11,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,13130,,7:00 pm
2013-11-11,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,19060,,10:30 pm
2013-11-11,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,12424,,7:00 pm
2013-11-11,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,18834,,10:00 pm
2013-11-11,Denver Nuggets,100,Utah Jazz,81,Box Score,,16866,,9:00 pm
2013-11-12,Washington Wizards,95,Dallas Mavericks,105,Box Score,,19627,,8:30 pm
2013-11-12,Detroit Pistons,95,Golden State Warriors,113,Box Score,,19596,,10:30 pm
2013-11-12,New Orleans Pelicans,95,Los Angeles Lakers,116,Box Score,,18426,,10:30 pm
2013-11-12,Milwaukee Bucks,95,Miami Heat,118,Box Score,,19600,,7:30 pm
2013-11-13,New York Knicks,95,Atlanta Hawks,91,Box Score,,15057,,8:00 pm
2013-11-13,Charlotte Bobcats,89,Boston Celtics,83,Box Score,,17032,,7:30 pm
2013-11-13,Los Angeles Lakers,99,Denver Nuggets,111,Box Score,,17824,,9:00 pm
2013-11-13,Oklahoma City Thunder,103,Los Angeles Clippers,111,Box Score,,19273,,10:30 pm
2013-11-13,Toronto Raptors,103,Memphis Grizzlies,87,Box Score,,15971,,8:00 pm
2013-11-13,Cleveland Cavaliers,95,Minnesota Timberwolves,124,Box Score,,14978,,8:00 pm
2013-11-13,Milwaukee Bucks,91,Orlando Magic,94,Box Score,,13588,,7:00 pm
2013-11-13,Houston Rockets,117,Philadelphia 76ers,123,Box Score,OT,11671,,7:00 pm
2013-11-13,Phoenix Suns,89,Portland Trail Blazers,90,Box Score,,19537,,10:00 pm
2013-11-13,Brooklyn Nets,86,Sacramento Kings,107,Box Score,,15122,,10:00 pm
2013-11-13,Washington Wizards,79,San Antonio Spurs,92,Box Score,,18581,,8:30 pm
2013-11-13,New Orleans Pelicans,105,Utah Jazz,111,Box Score,,16717,,9:00 pm
2013-11-14,Oklahoma City Thunder,115,Golden State Warriors,116,Box Score,,19596,,10:30 pm
2013-11-14,Houston Rockets,109,New York Knicks,106,Box Score,,19812,,8:00 pm
2013-11-15,Philadelphia 76ers,103,Atlanta Hawks,113,Box Score,,12070,,7:30 pm
2013-11-15,Portland Trail Blazers,109,Boston Celtics,96,Box Score,,18624,,7:30 pm
2013-11-15,Charlotte Bobcats,86,Cleveland Cavaliers,80,Box Score,,18679,,7:30 pm
2013-11-15,Minnesota Timberwolves,113,Denver Nuggets,117,Box Score,,17142,,8:00 pm
2013-11-15,Milwaukee Bucks,77,Indiana Pacers,104,Box Score,,16202,,7:00 pm
2013-11-15,Memphis Grizzlies,89,Los Angeles Lakers,86,Box Score,,18997,,10:30 pm
2013-11-15,Dallas Mavericks,104,Miami Heat,110,Box Score,,19772,,7:30 pm
2013-11-15,Brooklyn Nets,100,Phoenix Suns,98,Box Score,OT,15984,,9:00 pm
2013-11-15,Detroit Pistons,97,Sacramento Kings,90,Box Score,,17317,,10:30 pm
2013-11-15,Chicago Bulls,96,Toronto Raptors,80,Box Score,,19800,,7:00 pm
2013-11-15,San Antonio Spurs,91,Utah Jazz,82,Box Score,,17530,,9:00 pm
2013-11-16,Miami Heat,97,Charlotte Bobcats,81,Box Score,,19084,,7:00 pm
2013-11-16,Indiana Pacers,94,Chicago Bulls,110,Box Score,,22158,,8:00 pm
2013-11-16,Utah Jazz,88,Golden State Warriors,102,Box Score,,19596,,10:30 pm
2013-11-16,Denver Nuggets,111,Houston Rockets,122,Box Score,,18147,,8:00 pm
2013-11-16,Brooklyn Nets,103,Los Angeles Clippers,110,Box Score,,19349,,10:30 pm
2013-11-16,Oklahoma City Thunder,92,Milwaukee Bucks,79,Box Score,,15984,,8:30 pm
2013-11-16,Boston Celtics,88,Minnesota Timberwolves,106,Box Score,,15111,,8:00 pm
2013-11-16,Philadelphia 76ers,98,New Orleans Pelicans,135,Box Score,,16659,,8:00 pm
2013-11-16,Atlanta Hawks,110,New York Knicks,90,Box Score,,19812,,7:30 pm
2013-11-16,Dallas Mavericks,108,Orlando Magic,100,Box Score,,15039,,7:00 pm
2013-11-16,Cleveland Cavaliers,103,Washington Wizards,96,Box Score,OT,18038,,7:00 pm
2013-11-17,Detroit Pistons,99,Los Angeles Lakers,114,Box Score,,18997,,9:30 pm
2013-11-17,Memphis Grizzlies,97,Sacramento Kings,86,Box Score,,15630,,6:00 pm
2013-11-17,Portland Trail Blazers,118,Toronto Raptors,110,Box Score,OT,17945,,1:00 pm
2013-11-18,Portland Trail Blazers,108,Brooklyn Nets,98,Box Score,,17732,,7:30 pm
2013-11-18,Charlotte Bobcats,81,Chicago Bulls,86,Box Score,,21628,,8:00 pm
2013-11-18,Philadelphia 76ers,94,Dallas Mavericks,97,Box Score,,19790,,8:30 pm
2013-11-18,Memphis Grizzlies,106,Los Angeles Clippers,102,Box Score,,19060,,10:30 pm
2013-11-18,Denver Nuggets,113,Oklahoma City Thunder,115,Box Score,,18203,,8:00 pm
2013-11-18,Golden State Warriors,98,Utah Jazz,87,Box Score,,16051,,9:00 pm
2013-11-19,New York Knicks,86,Detroit Pistons,92,Box Score,,13213,,7:30 pm
2013-11-19,Boston Celtics,85,Houston Rockets,109,Box Score,,18232,,8:00 pm
2013-11-19,Atlanta Hawks,88,Miami Heat,104,Box Score,,19600,,7:30 pm
2013-11-19,Phoenix Suns,104,Sacramento Kings,107,Box Score,,14626,,10:00 pm
2013-11-19,Minnesota Timberwolves,100,Washington Wizards,104,Box Score,,14804,,7:00 pm
2013-11-20,Detroit Pistons,85,Atlanta Hawks,93,Box Score,,13167,,7:30 pm
2013-11-20,Brooklyn Nets,91,Charlotte Bobcats,95,Box Score,,13843,,7:00 pm
2013-11-20,Washington Wizards,98,Cleveland Cavaliers,91,Box Score,,16189,,7:00 pm
2013-11-20,Houston Rockets,120,Dallas Mavericks,123,Box Score,,20045,,9:30 pm
2013-11-20,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,19596,,10:30 pm
2013-11-20,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,11789,,8:00 pm
2013-11-20,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,13101,,8:00 pm
2013-11-20,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,13203,,8:00 pm
2013-11-20,Indiana Pacers,103,New York Knicks,96,Box Score,OT,19812,,7:00 pm
2013-11-20,Miami Heat,120,Orlando Magic,92,Box Score,,17256,,7:00 pm
2013-11-20,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,10787,,7:00 pm
2013-11-20,Sacramento Kings,113,Phoenix Suns,106,Box Score,,12705,,9:00 pm
2013-11-20,Boston Celtics,93,San Antonio Spurs,104,Box Score,,18581,,8:30 pm
2013-11-21,Chicago Bulls,87,Denver Nuggets,97,Box Score,,18423,,10:30 pm
2013-11-21,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,18203,,8:00 pm
2013-11-22,Indiana Pacers,97,Boston Celtics,82,Box Score,,18624,,7:30 pm
2013-11-22,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,14916,,7:00 pm
2013-11-22,Utah Jazz,93,Dallas Mavericks,103,Box Score,,19781,,8:30 pm
2013-11-22,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,13467,,7:30 pm
2013-11-22,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,18997,,10:30 pm
2013-11-22,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,17109,,8:00 pm
2013-11-22,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,15551,,8:00 pm
2013-11-22,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,15186,,8:00 pm
2013-11-22,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,13588,,7:00 pm
2013-11-22,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,20618,,10:00 pm
2013-11-22,Washington Wizards,88,Toronto Raptors,96,Box Score,,18671,,7:00 pm
2013-11-23,Boston Celtics,94,Atlanta Hawks,87,Box Score,,15189,,7:30 pm
2013-11-23,Dallas Mavericks,100,Denver Nuggets,102,Box Score,,17841,,9:00 pm
2013-11-23,Portland Trail Blazers,113,Golden State Warriors,101,Box Score,,19596,,10:30 pm
2013-11-23,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,18196,,8:00 pm
2013-11-23,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,18165,,7:00 pm
2013-11-23,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,19060,,3:30 pm
2013-11-23,Orlando Magic,99,Miami Heat,101,Box Score,,19647,,7:30 pm
2013-11-23,Charlotte Bobcats,96,Milwaukee Bucks,72,Box Score,,14871,,8:30 pm
2013-11-23,Cleveland Cavaliers,96,San Antonio Spurs,126,Box Score,,18581,,8:30 pm
2013-11-23,New York Knicks,89,Washington Wizards,98,Box Score,,18089,,7:00 pm
2013-11-24,Detroit Pistons,109,Brooklyn Nets,97,Box Score,,17732,,2:00 pm
2013-11-24,Chicago Bulls,82,Los Angeles Clippers,121,Box Score,,19245,,3:30 pm
2013-11-24,Sacramento Kings,86,Los Angeles Lakers,100,Box Score,,18997,,9:30 pm
2013-11-24,Utah Jazz,73,Oklahoma City Thunder,95,Box Score,,18203,,7:00 pm
2013-11-24,Phoenix Suns,104,Orlando Magic,96,Box Score,,15785,,6:00 pm
2013-11-25,Boston Celtics,96,Charlotte Bobcats,86,Box Score,,13558,,7:00 pm
2013-11-25,Denver Nuggets,110,Dallas Mavericks,96,Box Score,,19677,,8:30 pm
2013-11-25,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,12150,,7:30 pm
2013-11-25,Minnesota Timberwolves,84,Indiana Pacers,98,Box Score,,16426,,7:00 pm
2013-11-25,Houston Rockets,93,Memphis Grizzlies,86,Box Score,,15246,,8:00 pm
2013-11-25,Phoenix Suns,92,Miami Heat,107,Box Score,,19758,,7:30 pm
2013-11-25,New York Knicks,91,Portland Trail Blazers,102,Box Score,,19939,,10:00 pm
2013-11-25,New Orleans Pelicans,93,San Antonio Spurs,112,Box Score,,18323,,8:30 pm
2013-11-25,Chicago Bulls,83,Utah Jazz,89,Box Score,OT,18936,,9:00 pm
2013-11-26,Orlando Magic,109,Atlanta Hawks,92,Box Score,,13164,,7:30 pm
2013-11-26,Golden State Warriors,102,New Orleans Pelicans,101,Box Score,,15330,,8:00 pm
2013-11-26,Brooklyn Nets,102,Toronto Raptors,100,Box Score,,16421,,7:00 pm
2013-11-26,Los Angeles Lakers,111,Washington Wizards,116,Box Score,,19204,,7:00 pm
2013-11-27,Memphis Grizzlies,100,Boston Celtics,93,Box Score,,17319,,7:30 pm
2013-11-27,Los Angeles Lakers,99,Brooklyn Nets,94,Box Score,,17732,,7:30 pm
2013-11-27,Indiana Pacers,99,Charlotte Bobcats,74,Box Score,,15170,,7:00 pm
2013-11-27,Miami Heat,95,Cleveland Cavaliers,84,Box Score,,20562,,7:30 pm
2013-11-27,Golden State Warriors,99,Dallas Mavericks,103,Box Score,,20211,,8:30 pm
2013-11-27,Chicago Bulls,99,Detroit Pistons,79,Box Score,,14228,,7:30 pm
2013-11-27,Atlanta Hawks,84,Houston Rockets,113,Box Score,,18051,,8:00 pm
2013-11-27,New York Knicks,80,Los Angeles Clippers,93,Box Score,,19270,,10:30 pm
2013-11-27,Washington Wizards,100,Milwaukee Bucks,92,Box Score,OT,11584,,8:00 pm
2013-11-27,Denver Nuggets,117,Minnesota Timberwolves,110,Box Score,,14244,,8:00 pm
2013-11-27,San Antonio Spurs,88,Oklahoma City Thunder,94,Box Score,,18203,,8:00 pm
2013-11-27,Philadelphia 76ers,94,Orlando Magic,105,Box Score,,15839,,7:00 pm
2013-11-27,Portland Trail Blazers,106,Phoenix Suns,120,Box Score,,12731,,9:00 pm
2013-11-29,Dallas Mavericks,87,Atlanta Hawks,88,Box Score,,15463,,7:30 pm
2013-11-29,Cleveland Cavaliers,86,Boston Celtics,103,Box Score,,17685,,7:30 pm
2013-11-29,Milwaukee Bucks,76,Charlotte Bobcats,92,Box Score,,15081,,7:00 pm
2013-11-29,New York Knicks,95,Denver Nuggets,97,Box Score,,19155,,9:00 pm
2013-11-29,Los Angeles Lakers,106,Detroit Pistons,102,Box Score,,15202,,7:30 pm
2013-11-29,Brooklyn Nets,95,Houston Rockets,114,Box Score,,18138,,8:00 pm
2013-11-29,Washington Wizards,73,Indiana Pacers,93,Box Score,,18165,,8:00 pm
2013-11-29,Golden State Warriors,112,Oklahoma City Thunder,113,Box Score,OT,18203,,8:00 pm
2013-11-29,San Antonio Spurs,109,Orlando Magic,91,Box Score,,15159,,7:00 pm
2013-11-29,New Orleans Pelicans,121,Philadelphia 76ers,105,Box Score,,17807,,8:00 pm
2013-11-29,Los Angeles Clippers,104,Sacramento Kings,98,Box Score,OT,17317,,10:00 pm
2013-11-29,Miami Heat,90,Toronto Raptors,83,Box Score,,18290,,7:00 pm
2013-11-29,Phoenix Suns,112,Utah Jazz,101,Box Score,,18435,,9:00 pm
2013-11-30,Chicago Bulls,93,Cleveland Cavaliers,97,Box Score,,17296,,7:30 pm
2013-11-30,Minnesota Timberwolves,112,Dallas Mavericks,106,Box Score,,20173,,8:30 pm
2013-11-30,Brooklyn Nets,97,Memphis Grizzlies,88,Box Score,,17012,,8:00 pm
2013-11-30,Boston Celtics,85,Milwaukee Bucks,92,Box Score,,15471,,9:00 pm
2013-11-30,Utah Jazz,112,Phoenix Suns,104,Box Score,,12957,,9:00 pm
2013-11-30,Houston Rockets,112,San Antonio Spurs,106,Box Score,,18581,,8:30 pm
2013-11-30,Atlanta Hawks,101,Washington Wizards,108,Box Score,,14280,,7:00 pm
2013-12-01,Philadelphia 76ers,100,Detroit Pistons,115,Box Score,,14107,,3:30 pm
2013-12-01,Indiana Pacers,105,Los Angeles Clippers,100,Box Score,,19060,,3:30 pm
2013-12-01,Portland Trail Blazers,114,Los Angeles Lakers,108,Box Score,,18997,,9:30 pm
2013-12-01,Charlotte Bobcats,98,Miami Heat,99,Box Score,,19617,,6:00 pm
2013-12-01,New Orleans Pelicans,103,New York Knicks,99,Box Score,,19812,,7:30 pm
2013-12-01,Minnesota Timberwolves,103,Oklahoma City Thunder,113,Box Score,,18203,,7:00 pm
2013-12-01,Golden State Warriors,115,Sacramento Kings,113,Box Score,,15588,,6:00 pm
2013-12-01,Denver Nuggets,112,Toronto Raptors,98,Box Score,,16290,,1:00 pm
2013-12-02,New Orleans Pelicans,131,Chicago Bulls,128,Box Score,3OT,21615,,8:00 pm
2013-12-02,Indiana Pacers,102,Portland Trail Blazers,106,Box Score,,19023,,10:00 pm
2013-12-02,Atlanta Hawks,100,San Antonio Spurs,102,Box Score,,17318,,8:30 pm
2013-12-02,Houston Rockets,103,Utah Jazz,109,Box Score,,15801,,9:00 pm
2013-12-02,Orlando Magic,80,Washington Wizards,98,Box Score,,12809,,7:00 pm
2013-12-03,Milwaukee Bucks,100,Boston Celtics,108,Box Score,,16649,,7:30 pm
2013-12-03,Denver Nuggets,111,Brooklyn Nets,87,Box Score,,17732,,7:30 pm
2013-12-03,Charlotte Bobcats,82,Dallas Mavericks,89,Box Score,,19612,,8:30 pm
2013-12-03,Toronto Raptors,103,Golden State Warriors,112,Box Score,,19596,,10:30 pm
2013-12-03,Phoenix Suns,91,Memphis Grizzlies,110,Box Score,,15069,,8:00 pm
2013-12-03,Detroit Pistons,107,Miami Heat,97,Box Score,,19741,,7:30 pm
2013-12-03,Orlando Magic,125,Philadelphia 76ers,126,Box Score,2OT,10061,,7:00 pm
2013-12-03,Oklahoma City Thunder,97,Sacramento Kings,95,Box Score,,15089,,10:00 pm
2013-12-04,Los Angeles Clippers,97,Atlanta Hawks,107,Box Score,,12020,,7:30 pm
2013-12-04,Denver Nuggets,88,Cleveland Cavaliers,98,Box Score,,14642,,7:00 pm
2013-12-04,Phoenix Suns,97,Houston Rockets,88,Box Score,,18151,,8:00 pm
2013-12-04,Detroit Pistons,105,Milwaukee Bucks,98,Box Score,,12835,,8:00 pm
2013-12-04,Dallas Mavericks,100,New Orleans Pelicans,97,Box Score,,14524,,8:00 pm
2013-12-04,Oklahoma City Thunder,104,Portland Trail Blazers,111,Box Score,,18950,,10:00 pm
2013-12-04,Indiana Pacers,95,Utah Jazz,86,Box Score,,15519,,9:00 pm
2013-12-05,New York Knicks,113,Brooklyn Nets,83,Box Score,,17732,,7:00 pm
2013-12-05,Miami Heat,87,Chicago Bulls,107,Box Score,,22125,,9:30 pm
2013-12-05,Los Angeles Clippers,101,Memphis Grizzlies,81,Box Score,,15112,,8:00 pm
2013-12-06,Cleveland Cavaliers,89,Atlanta Hawks,108,Box Score,,13282,,7:30 pm
2013-12-06,Denver Nuggets,98,Boston Celtics,106,Box Score,,17263,,7:30 pm
2013-12-06,Philadelphia 76ers,88,Charlotte Bobcats,105,Box Score,,14088,,7:00 pm
2013-12-06,Golden State Warriors,83,Houston Rockets,105,Box Score,,18145,,8:00 pm
2013-12-06,Oklahoma City Thunder,109,New Orleans Pelicans,95,Box Score,,17694,,8:00 pm
2013-12-06,Orlando Magic,83,New York Knicks,121,Box Score,,19812,,7:30 pm
2013-12-06,Toronto Raptors,97,Phoenix Suns,106,Box Score,,12672,,9:00 pm
2013-12-06,Utah Jazz,98,Portland Trail Blazers,130,Box Score,,19833,,10:00 pm
2013-12-06,Los Angeles Lakers,106,Sacramento Kings,100,Box Score,,17317,,10:00 pm
2013-12-06,Milwaukee Bucks,109,Washington Wizards,105,Box Score,OT,18194,,7:00 pm
2013-12-07,Detroit Pistons,92,Chicago Bulls,75,Box Score,,21737,,8:00 pm
2013-12-07,Los Angeles Clippers,82,Cleveland Cavaliers,88,Box Score,,16216,,7:30 pm
2013-12-07,Golden State Warriors,108,Memphis Grizzlies,82,Box Score,,15088,,8:00 pm
2013-12-07,Brooklyn Nets,90,Milwaukee Bucks,82,Box Score,,14963,,8:30 pm
2013-12-07,Miami Heat,103,Minnesota Timberwolves,82,Box Score,,19888,,8:00 pm
2013-12-07,Denver Nuggets,103,Philadelphia 76ers,92,Box Score,,13113,,7:00 pm
2013-12-07,Dallas Mavericks,108,Portland Trail Blazers,106,Box Score,,20142,,10:00 pm
2013-12-07,Indiana Pacers,111,San Antonio Spurs,100,Box Score,,18581,,8:30 pm
2013-12-07,Sacramento Kings,112,Utah Jazz,102,Box Score,OT,16500,,9:00 pm
2013-12-08,Miami Heat,110,Detroit Pistons,95,Box Score,,18034,,6:00 pm
2013-12-08,Orlando Magic,88,Houston Rockets,98,Box Score,,16407,,7:00 pm
2013-12-08,Toronto Raptors,106,Los Angeles Lakers,94,Box Score,,18997,,9:30 pm
2013-12-08,Boston Celtics,114,New York Knicks,73,Box Score,,19812,,12:00 am
2013-12-08,Indiana Pacers,94,Oklahoma City Thunder,118,Box Score,,18203,,7:00 pm
2013-12-09,Golden State Warriors,111,Charlotte Bobcats,115,Box Score,,13129,,7:00 pm
2013-12-09,Orlando Magic,85,Memphis Grizzlies,94,Box Score,,13511,,8:00 pm
2013-12-09,Los Angeles Clippers,94,Philadelphia 76ers,83,Box Score,,12355,,7:00 pm
2013-12-09,Dallas Mavericks,97,Sacramento Kings,112,Box Score,,15329,,10:00 pm
2013-12-09,Portland Trail Blazers,105,Utah Jazz,94,Box Score,,17555,,9:00 pm
2013-12-09,Denver Nuggets,75,Washington Wizards,74,Box Score,,13293,,7:00 pm
2013-12-10,Oklahoma City Thunder,101,Atlanta Hawks,92,Box Score,,12503,,7:30 pm
2013-12-10,Boston Celtics,96,Brooklyn Nets,104,Box Score,,15738,,7:30 pm
2013-12-10,Milwaukee Bucks,78,Chicago Bulls,74,Box Score,,21303,,8:00 pm
2013-12-10,New York Knicks,94,Cleveland Cavaliers,109,Box Score,,14580,,7:00 pm
2013-12-10,Minnesota Timberwolves,121,Detroit Pistons,94,Box Score,,11251,,7:30 pm
2013-12-10,Miami Heat,84,Indiana Pacers,90,Box Score,,18165,,7:00 pm
2013-12-10,Phoenix Suns,114,Los Angeles Lakers,108,Box Score,,18997,,10:30 pm
2013-12-10,San Antonio Spurs,116,Toronto Raptors,103,Box Score,,17702,,7:00 pm
2013-12-11,Los Angeles Clippers,96,Boston Celtics,88,Box Score,,17587,,7:30 pm
2013-12-11,Orlando Magic,92,Charlotte Bobcats,83,Box Score,,11377,,7:00 pm
2013-12-11,Dallas Mavericks,93,Golden State Warriors,95,Box Score,,19596,,10:30 pm
2013-12-11,Oklahoma City Thunder,116,Memphis Grizzlies,100,Box Score,,16345,,8:00 pm
2013-12-11,San Antonio Spurs,109,Milwaukee Bucks,77,Box Score,,11087,,8:00 pm
2013-12-11,Philadelphia 76ers,99,Minnesota Timberwolves,106,Box Score,,13450,,8:00 pm
2013-12-11,Detroit Pistons,106,New Orleans Pelicans,111,Box Score,OT,14517,,8:00 pm
2013-12-11,Chicago Bulls,78,New York Knicks,83,Box Score,,19812,,8:00 pm
2013-12-11,Utah Jazz,122,Sacramento Kings,101,Box Score,,15198,,10:00 pm
2013-12-12,Los Angeles Clippers,93,Brooklyn Nets,102,Box Score,,15563,,8:00 pm
2013-12-12,Houston Rockets,104,Portland Trail Blazers,111,Box Score,,19997,,10:30 pm
2013-12-13,Washington Wizards,99,Atlanta Hawks,101,Box Score,OT,11251,,7:30 pm
2013-12-13,New York Knicks,86,Boston Celtics,90,Box Score,,17479,,7:30 pm
2013-12-13,Utah Jazz,103,Denver Nuggets,93,Box Score,,15616,,9:00 pm
2013-12-13,Brooklyn Nets,99,Detroit Pistons,103,Box Score,,15159,,7:30 pm
2013-12-13,Houston Rockets,116,Golden State Warriors,112,Box Score,,19596,,10:30 pm
2013-12-13,Charlotte Bobcats,94,Indiana Pacers,99,Box Score,,18165,,7:00 pm
2013-12-13,Chicago Bulls,91,Milwaukee Bucks,90,Box Score,,15219,,8:30 pm
2013-12-13,Memphis Grizzlies,98,New Orleans Pelicans,104,Box Score,,15516,,8:00 pm
2013-12-13,Los Angeles Lakers,97,Oklahoma City Thunder,122,Box Score,,18203,,8:00 pm
2013-12-13,Cleveland Cavaliers,109,Orlando Magic,100,Box Score,,16119,,7:00 pm
